,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,167311883,311,537980,Jumanji: The Next Level
1,2019,666447563,577,1155021,Avengers: Endgame
2,2018,799795654,570,1403150,Avengers: Infinity War
3,2017,748320468,422,1773271,Star Wars: Episode VIII - The Last Jedi
4,2016,886749941,297,2985690,Finding Dory
5,2015,861516266,280,3076843,Star Wars: Episode VII - The Force Awakens
6,2014,886871617,285,3111830,The Lego Movie
7,2013,920212502,267,3446488,Despicable Me 2
8,2012,1002087257,257,3899172,The Avengers
9,2011,1064560908,264,4032427,Harry Potter and the Deathly Hallows: Part 2
10,2010,970829221,283,3430491,Avatar
11,2009,835255540,343,2435147,Avatar
12,2008,797531244,334,2387818,The Dark Knight
13,2007,708760593,284,2495635,Pirates of the Caribbean: At World's End
14,2006,551609254,204,2703966,Pirates of the Caribbean: Dead Man's Chest
15,2005,441167035,179,2464620,Harry Potter and the Goblet of Fire
16,2004,620795583,243,2554714,Shrek 2
17,2003,543540380,256,2123204,Finding Nemo
18,2002,433181155,244,1775332,Star Wars: Episode II - Attack of the Clones
19,2001,395948650,212,1867682,Shrek
20,2000,29228651,35,835104,Chicken Run
