,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,88216284,89,991194,My Mom is a Character 3
1,2019,593668126,154,3854987,Avengers: Endgame
2,2018,630050266,180,3500279,Avengers: Infinity War
3,2017,749669648,179,4188098,The Fate of the Furious
4,2016,726583154,340,2137009,Captain America: Civil War
5,2015,486029709,150,3240198,Furious 7
6,2014,747157207,396,1886760,Maleficent
7,2013,804477179,444,1811885,Iron Man 3
8,2012,771455386,380,2030145,The Avengers
9,2011,754911081,215,3511214,Harry Potter and the Deathly Hallows: Part 2
10,2010,692787775,237,2923155,Elite Squad 2: The Enemy Within
11,2009,478296588,305,1568185,Ice Age: Dawn of the Dinosaurs
12,2008,374031982,427,875953,The Dark Knight
13,2007,290097062,241,1203722,Spider-Man 3
14,2002,133140727,119,1118829,Spider-Man
15,2001,31449119,33,953003,Harry Potter and the Sorcerer's Stone
