,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,37301030,245,152249,Bad Boys for Life
1,2019,189691988,540,351281,Avengers: Endgame
2,2018,180423189,532,339141,Mission: Impossible - Fallout
3,2017,212925375,525,405572,The Fate of the Furious
4,2016,185729999,361,514487,The Jungle Book
5,2015,124210114,289,429792,Furious 7
6,2014,148687975,302,492344,The Amazing Spider-Man 2
7,2013,139768873,263,531440,Iron Man 3
8,2012,117717365,269,437611,The Avengers
9,2011,101748790,253,402169,Mission: Impossible - Ghost Protocol
10,2010,92275180,275,335546,Avatar
11,2009,70887998,273,259663,2012
12,2008,70989968,272,260992,The Dark Knight
13,2007,45434312,193,235410,Spider-Man 3
14,2006,24506536,126,194496,Mission: Impossible III
15,2005,32286063,172,187709,Mr. & Mrs. Smith
16,2004,20488160,129,158822,The Day After Tomorrow
