,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,351707618,195,1803628,Tenet
1,2019,1296445401,363,3571474,The Lion King
2,2018,1357584374,395,3436922,Avengers: Infinity War
3,2017,1306772996,400,3266932,Star Wars: Episode VIII - The Last Jedi
4,2016,1337936109,377,3548902,Star Wars: Episode VII - The Force Awakens
5,2015,1166721684,300,3889072,Star Wars: Episode VII - The Force Awakens
6,2014,1470954664,352,4178848,Serial (Bad) Weddings
7,2013,1428111223,326,4380709,Despicable Me 2
8,2012,1483616290,315,4709892,Skyfall
9,2011,1717966642,346,4965221,The Intouchables
10,2010,1585353743,359,4416027,Avatar
11,2009,1571498852,571,2752187,Ice Age: Dawn of the Dinosaurs
12,2008,1579750575,699,2260015,Welcome to the Sticks
13,2007,1223095654,351,3484603,Ratatouille
14,2006,1212700690,293,4138910,French Fried Vacation 3: Friends Forever
15,2005,1080649159,272,3972974,Star Wars: Episode III - Revenge of the Sith
16,2004,1210387044,264,4584799,Home on the Range
17,2003,963895512,551,1749356,Finding Nemo
18,2002,871568084,558,1561949,Asterix & Obelix: Mission Cleopatra
19,2001,304073569,179,1698735,Harry Potter and the Sorcerer's Stone
