,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,31658456,87,363890,Tenet
1,2019,199909608,157,1273309,Avengers: Endgame
2,2018,188838293,153,1234237,Avengers: Infinity War
3,2017,144751949,85,1702964,Beauty and the Beast
4,2016,154889442,170,911114,Batman v Superman: Dawn of Justice
5,2015,233483865,304,768039,Avengers: Age of Ultron
6,2014,206862478,320,646445,Transformers: Age of Extinction
7,2013,205510453,319,644233,Iron Man 3
8,2012,197345576,304,649163,The Avengers
9,2011,181585535,285,637142,Transformers: Dark of the Moon
10,2010,171847900,287,598773,Avatar
11,2009,149724709,257,582586,Avatar
12,2008,138294528,244,566780,The Dark Knight
13,2007,117345358,216,543265,Harry Potter and the Order of the Phoenix
14,2006,123914486,192,645387,Silent Hill
15,2005,107928918,177,609767,Initial D
16,2004,118900539,189,629103,The Day After Tomorrow
17,2003,71456744,117,610741,Finding Nemo
18,2002,67068632,147,456249,Infernal Affairs
19,2001,11671056,47,248320,La Brassiere
