,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,45024255,34,1324242,Malang
1,2019,406670775,77,5281438,Avengers: Endgame
2,2018,399038204,75,5320509,Sanju
3,2017,264043452,60,4400724,Baahubali 2: The Conclusion
4,2016,130914854,50,2618297,M.S. Dhoni: The Untold Story
5,2015,286818868,68,4217924,Bajrangi Bhaijaan
6,2014,124549646,74,1683103,Naan Sigappu Manithan
7,2013,72493409,61,1188416,Iron Man 3
8,2012,125042340,43,2907961,Rowdy Rathore
9,2011,36574705,41,892065,Double Dhamaal
10,2010,58575739,6,9762623,Politics
11,2009,114927542,69,1665616,3 Idiots
12,2008,247446530,100,2474465,Race
13,2007,338753672,109,3107831,Guru
14,2006,5413097,2,2706548,Chup Chup Ke
15,2004,9250375,11,840943,Dhoom
16,2003,101562263,94,1080449,Koi... Mil Gaya
17,2002,2757777,1,2757777,I Am Yours Darling
