,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,20705862,22,941175,Bad Boys for Life
1,2019,212940051,54,3943334,Avengers: Endgame
2,2018,174097138,65,2678417,Avengers: Infinity War
3,2017,166385277,56,2971165,The Fate of the Furious
4,2016,53269623,32,1664675,Warkop DKI Reborn: Jangkrik Boss Part 1
5,2013,55462740,27,2054175,Iron Man 3
6,2012,95097673,46,2067340,The Avengers
7,2011,53845822,59,912641,Harry Potter and the Deathly Hallows: Part 2
8,2010,62881321,62,1014214,Harry Potter and the Deathly Hallows: Part 1
9,2009,45952671,45,1021170,2012
