,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,136445305,185,737542,Tolo Tolo
1,2019,544463938,473,1151086,The Lion King
2,2018,567084791,350,1620242,Bohemian Rhapsody
3,2017,587826386,322,1825547,Beauty and the Beast
4,2016,676462144,327,2068691,Quo vado?
5,2015,632204571,299,2114396,Inside Out
6,2014,689906597,282,2446477,Maleficent
7,2013,781875349,324,2413195,Sole a catinelle
8,2012,727113089,374,1944152,Welcome to the North
9,2011,871135571,454,1918800,What a Beautiful Day
10,2010,929233026,336,2765574,Avatar
11,2009,841575600,381,2208859,Ice Age: Dawn of the Dinosaurs
12,2008,862240660,449,1920357,Natale a Rio
13,2007,808432558,384,2105293,Natale in crociera
14,2006,594049257,262,2267363,Natale a New York
15,2005,625571236,287,2179690,Madagascar
16,2004,635765045,266,2390094,The Lord of the Rings: The Return of the King
17,2003,473988745,278,1704995,The Lord of the Rings: The Two Towers
18,2002,420634490,289,1455482,Pinocchio
