,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,532724929,112,4756472,I'm From Today!
1,2019,1720998948,172,10005807,Aladdin
2,2018,1417737552,174,8147916,Detective Conan: Zero the Enforcer
3,2017,1561846065,188,8307691,Beauty and the Beast
4,2016,1622358405,172,9432316,Your Name.
5,2015,848683793,97,8749317,Cinderella
6,2014,1438421062,173,8314572,Frozen
7,2013,1517151860,181,8382054,The Wind Rises
8,2012,2043740302,198,10321920,Brave Hearts: Umizaru
9,2011,1938228343,199,9739840,Harry Potter and the Deathly Hallows: Part 2
10,2010,2198020816,195,11271901,Avatar
11,2009,1710723661,189,9051447,Rookies the Movie: Graduation
12,2008,1698333862,233,7288986,Ponyo
13,2007,1454349108,187,7777267,Pirates of the Caribbean: At World's End
14,2006,1250088476,137,9124733,Pirates of the Caribbean: Dead Man's Chest
15,2005,1155271788,115,10045841,Howl's Moving Castle
16,2004,1237837037,112,11052116,The Lord of the Rings: The Return of the King
17,2003,1344955004,123,10934593,Bayside Shakedown 2
18,2002,1216807153,115,10580931,Sennen no koi - Hikaru Genji monogatari
