,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,8375760,22,380716,Bad Boys for Life
1,2019,127233564,61,2085796,Avengers: Endgame
2,2018,125137343,68,1840255,Avengers: Infinity War
3,2017,110040388,66,1667278,The Fate of the Furious
4,2016,110515976,107,1032859,Doctor Strange
5,2015,178259117,199,895774,Furious 7
6,2014,193313359,178,1086030,Transformers: Age of Extinction
7,2013,210341715,207,1016143,Iron Man 3
8,2012,176279515,206,855725,The Avengers
9,2011,164267308,225,730076,Transformers: Dark of the Moon
10,2010,150881648,250,603526,Iron Man 2
11,2009,105321831,257,409812,2012
12,2008,82433726,187,440822,CJ7
13,2007,52687701,173,304553,Transformers
