,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,114897539,81,1418488,Bad Boys for Life
1,2019,738198613,184,4011948,Avengers: Endgame
2,2018,750648766,222,3381300,Avengers: Infinity War
3,2017,713318890,193,3695952,Coco
4,2016,765009469,249,3072327,Captain America: Civil War
5,2015,527053751,150,3513691,Avengers: Age of Ultron
6,2014,784348306,267,2937634,Maleficent
7,2013,881673364,276,3194468,Iron Man 3
8,2012,779439037,276,2824054,The Avengers
9,2011,753759551,290,2599170,Harry Potter and the Deathly Hallows: Part 2
10,2010,683885623,289,2366386,Toy Story 3
11,2009,545455167,413,1320714,Ice Age: Dawn of the Dinosaurs
12,2008,628239072,476,1319829,The Dark Knight
13,2007,581111171,284,2046166,Spider-Man 3
14,2006,70478801,52,1355361,Babel
15,2005,55576444,38,1462538,Meet the Fockers
16,2004,442056164,210,2105029,Shrek 2
17,2003,395269033,228,1733636,Finding Nemo
18,2002,433442714,214,2025433,Spider-Man
19,2001,67917064,55,1234855,The Others
