,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,81731318,170,480772,The Marriage Escape
1,2019,316142935,307,1029781,The Lion King
2,2018,309546261,296,1045764,Bohemian Rhapsody
3,2017,273658961,292,937188,Pirates of the Caribbean: Dead Men Tell No Tales
4,2016,271185987,256,1059320,Bridget Jones's Baby
5,2015,243527587,229,1063439,Spectre
6,2014,261500042,202,1294554,Gooische Vrouwen II
7,2013,283615831,233,1217235,The Hobbit: The Desolation of Smaug
8,2012,257982275,213,1211184,Skyfall
9,2011,296149538,218,1358484,Gooische Vrouwen
10,2010,256087147,216,1185588,Avatar
11,2009,253793081,243,1044415,Harry Potter and the Half-Blood Prince
12,2008,212872900,281,757554,Mamma Mia!
13,2007,190120134,220,864182,Pirates of the Caribbean: At World's End
14,2006,167342798,180,929682,Pirates of the Caribbean: Dead Man's Chest
15,2005,130837503,174,751939,Harry Potter and the Goblet of Fire
16,2004,177673430,188,945071,The Lord of the Rings: The Return of the King
17,2003,168936498,171,987932,The Matrix Reloaded
18,2002,140230477,162,865620,Harry Potter and the Chamber of Secrets
19,2001,42996987,56,767803,Harry Potter and the Sorcerer's Stone
