,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,70306591,740069,95,Psy 3: W imie zasad
1,2019,232419930,1539204,151,Miszmasz czyli Kogel Mogel 3
2,2018,275781221,1594111,173,Clergy
3,2017,251383526,1404377,179,Listy do M. 3
4,2016,187078682,995099,188,Pitbull: Tough Women
5,2015,113516650,718459,158,Fifty Shades of Grey
6,2014,224430369,1006414,223,Interstellar
7,2013,191993451,853304,225,The Hobbit: An Unexpected Journey
8,2012,206318194,964103,214,Madagascar 3: Europe's Most Wanted
9,2011,227163561,1086906,209,Listy do M.
10,2010,204463938,1155163,177,Avatar
11,2009,192709059,1219677,158,Ice Age: Dawn of the Dinosaurs
12,2008,199207774,1345998,148,Lejdis
13,2007,147243826,1044282,141,Shrek the Third
14,2006,124154474,955034,130,Ice Age: The Meltdown
15,2005,76141601,585704,130,Karol: A Man Who Became Pope
16,2004,108643766,883282,123,Shrek 2
17,2003,67267540,538140,125,The Lord of the Rings: The Two Towers
18,2002,27142392,467972,58,The Revenge
