,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,227252489,395,575322,The Man Standing Next
1,2019,1471820040,468,3144914,Extreme Job
2,2018,1440431958,512,2813343,Avengers: Infinity War
3,2017,1447101515,480,3014794,A Taxi Driver
4,2016,1321893533,457,2892546,Train to Busan
5,2015,1201806634,272,4418406,Veteran
6,2014,1395208253,195,7154914,The Admiral: Roaring Currents
7,2013,1231129541,189,6513912,Miracle in Cell No. 7
8,2012,1090625166,185,5895271,Masquerade
9,2011,1061259342,324,3275491,Transformers: Dark of the Moon
10,2010,950380789,406,2340839,Avatar
11,2009,842495113,434,1941232,Tidal Wave
12,2008,855764543,606,1412152,The Good the Bad the Weird
13,2007,999331060,603,1657265,Transformers
14,2006,764422401,214,3572067,Wang-ui namja
15,2005,611235984,151,4047920,Battle Ground 625
16,2003,112608164,32,3519005,My Tutor Friend
17,2002,436153476,149,2927204,Family Honor
