,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,113364645,128,885661,Padre no hay más que uno 2: La llegada de la suegra
1,2019,588457457,338,1740998,The Lion King
2,2018,644492055,339,1901156,Jurassic World: Fallen Kingdom
3,2017,642947328,423,1519970,Beauty and the Beast
4,2016,655255480,508,1289872,A Monster Calls
5,2015,547539961,348,1573390,Fifty Shades of Grey
6,2014,607362358,445,1364859,Spanish Affair
7,2013,661219022,455,1453228,The Croods
8,2012,775442620,417,1859574,The Impossible
9,2011,863804848,471,1833980,Torrente 4
10,2010,828644755,405,2046036,Avatar
11,2009,899014361,412,2182073,Up
12,2008,862386117,483,1785478,Indiana Jones and the Kingdom of the Crystal Skull
13,2007,825442025,426,1937657,The Orphanage
14,2006,754693188,292,2584565,Pirates of the Caribbean: Dead Man's Chest
15,2005,704155919,252,2794269,Star Wars: Episode III - Revenge of the Sith
16,2004,742839617,317,2343342,Shrek 2
17,2003,651979485,340,1917586,Pirates of the Caribbean: The Curse of the Black Pearl
18,2002,541633832,330,1641314,Spider-Man
19,2001,121454963,60,2024249,The Score
