,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,19187565,31,618953,Bad Boys for Life
1,2019,167783578,61,2750550,Avengers: Endgame
2,2018,167208511,76,2200111,Avengers: Infinity War
3,2017,203596166,94,2165916,The Fate of the Furious
4,2016,156357139,127,1231158,Deadpool
5,2015,202044006,142,1422845,Jurassic World
6,2014,30760447,32,961263,Interstellar
7,2011,181352214,186,975011,Transformers: Dark of the Moon
8,2010,92672963,291,318463,Avatar
9,2009,95211807,249,382376,2012
10,2008,129847134,370,350938,Cape No. 7
11,2007,91354121,339,269481,"Lust, Caution"
12,2006,85265114,310,275048,Mission: Impossible III
13,2005,94061034,312,301477,War of the Worlds
14,2004,33626969,124,271185,"I, Robot"
15,2003,45233539,99,456904,The Lord of the Rings: The Two Towers
16,2002,60124661,160,375779,Harry Potter and the Chamber of Secrets
17,2001,12971490,55,235845,Harry Potter and the Sorcerer's Stone
