,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,328472832,371,885371,1917
1,2019,1492239677,778,1918045,Avengers: Endgame
2,2018,1711750707,720,2377431,Avengers: Infinity War
3,2017,1652663979,730,2263923,Star Wars: Episode VIII - The Last Jedi
4,2016,1601869191,779,2056314,The Jungle Book
5,2015,1838603099,307,5988935,Spectre
6,2014,1808551251,431,4196174,The Lego Movie
7,2013,1762958771,477,3695930,Despicable Me 2
8,2012,1855303034,586,3166046,Skyfall
9,2011,1778668157,534,3330839,Harry Potter and the Deathly Hallows: Part 2
10,2010,1593432317,276,5773305,Toy Story 3
11,2009,1570358858,421,3730068,Harry Potter and the Half-Blood Prince
12,2008,1731807301,572,3027635,Mamma Mia!
13,2007,1778730595,530,3356095,Harry Potter and the Order of the Phoenix
14,2006,1489112313,411,3623144,Pirates of the Caribbean: Dead Man's Chest
15,2005,1341341050,259,5178922,Harry Potter and the Goblet of Fire
16,2004,1333902227,263,5071871,Shrek 2
17,2003,1323318019,222,5960891,Finding Nemo
18,2002,1113048996,195,5707943,Harry Potter and the Chamber of Secrets
19,2001,886414527,191,4640913,Harry Potter and the Sorcerer's Stone
20,2000,146602451,5,29320490,Gladiator
