,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,1923713952,361,5328847,Bad Boys for Life
1,2019,11320839559,909,12454168,Avengers: Endgame
2,2018,11889341443,993,11973153,Black Panther
3,2017,11072815067,852,12996261,Star Wars: Episode VIII - The Last Jedi
4,2016,11377066920,856,13290966,Finding Dory
5,2015,11125835068,846,13151105,Jurassic World
6,2014,10359575749,849,12202091,Guardians of the Galaxy
7,2013,10922051943,826,13222823,Iron Man 3
8,2012,10822806722,807,13411160,The Avengers
9,2011,10173621826,730,13936468,Harry Potter and the Deathly Hallows: Part 2
10,2010,10566830616,651,16231690,Avatar
11,2009,10590200693,646,16393499,Transformers: Revenge of the Fallen
12,2008,9629131592,725,13281560,The Dark Knight
13,2007,9657106911,775,12460783,Spider-Man 3
14,2006,9208611128,746,12343982,Pirates of the Caribbean: Dead Man's Chest
15,2005,8837713363,676,13073540,Star Wars: Episode III - Revenge of the Sith
16,2004,9365047036,700,13378638,Shrek 2
17,2003,9210978005,667,13809562,Finding Nemo
18,2002,9165532414,570,16079881,Spider-Man
19,2001,8110859106,413,19638884,Harry Potter and the Sorcerer's Stone
20,2000,7511547085,439,17110585,How the Grinch Stole Christmas
21,1999,7377967100,448,16468676,Star Wars: Episode I - The Phantom Menace
22,1998,6725527166,334,20136308,Titanic
23,1997,6156263535,310,19858914,Men in Black
24,1996,5647751531,306,18456704,Independence Day
25,1995,5199428915,291,17867453,Batman Forever
26,1994,5101025737,259,19695080,The Lion King
27,1993,4860902708,267,18205628,Jurassic Park
28,1992,4556151332,247,18445956,Batman Returns
29,1991,4366922856,253,17260564,Terminator 2: Judgment Day
30,1990,4362843546,236,18486625,Ghost
31,1989,4111404298,235,17495337,Batman
32,1988,3548516187,239,14847348,Who Framed Roger Rabbit
33,1987,3398925607,226,15039493,Beverly Hills Cop II
34,1986,3102793651,201,15436784,Top Gun
35,1985,3041480248,191,15923980,Back to the Future
36,1984,3104296629,169,18368619,Ghostbusters
37,1983,2748432836,149,18445857,Star Wars: Episode VI - Return of the Jedi
38,1982,3008355492,132,22790571,E.T. the Extra-Terrestrial
39,1981,918310755,56,16398406,Superman II
40,1980,1657166297,68,24370092,Star Wars: Episode V - The Empire Strikes Back
41,1979,1244961893,40,31124047,Superman
42,1978,840508376,13,64654490,Grease
43,1977,443497478,9,49277497,Star Wars: Episode IV - A New Hope
